neg,neu,pos,compound
0.102,0.898,0.0,-0.43
0.0,1.0,0.0,0.0
0.135,0.835,0.029,-0.6908
0.091,0.705,0.204,0.7269
0.0,1.0,0.0,0.0
0.0,0.758,0.242,0.8074
0.0,1.0,0.0,0.0
0.153,0.847,0.0,-0.7506
0.0,0.835,0.165,0.7845
0.0,0.857,0.143,0.3612
0.0,1.0,0.0,0.0
0.0,0.919,0.081,0.3182
0.0,1.0,0.0,0.0
0.357,0.643,0.0,-0.9041
0.0,1.0,0.0,0.0
0.234,0.673,0.094,-0.7003
0.0,1.0,0.0,0.0
0.0,0.902,0.098,0.0772
0.0,1.0,0.0,0.0
0.196,0.804,0.0,-0.296
0.0,0.848,0.152,0.6124
0.316,0.684,0.0,-0.5719
0.248,0.752,0.0,-0.5106
0.08,0.856,0.064,-0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.097,0.812,0.091,-0.0516
0.153,0.694,0.153,-0.25
0.0,1.0,0.0,0.0
0.0,0.708,0.292,0.7345
0.0,0.779,0.221,0.5043
0.254,0.616,0.13,-0.3885
0.0,0.787,0.213,0.8706
0.0,1.0,0.0,0.0
0.057,0.843,0.1,0.2247
0.0,0.939,0.061,0.0772
0.0,0.812,0.188,0.7579
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.06,0.842,0.098,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.215,0.524,0.262,-0.0258
0.159,0.841,0.0,-0.6486
0.0,0.85,0.15,0.3182
0.105,0.895,0.0,-0.25
0.0,0.881,0.119,0.2263
0.184,0.727,0.088,-0.5719
0.194,0.806,0.0,-0.8024
0.0,1.0,0.0,0.0
0.212,0.788,0.0,-0.6249
0.099,0.743,0.158,0.296
0.0,1.0,0.0,0.0
0.0,0.723,0.277,0.3182
0.096,0.817,0.087,-0.0772
0.0,1.0,0.0,0.0
0.277,0.591,0.132,-0.4939
0.055,0.831,0.114,0.3182
0.049,0.911,0.04,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.115,0.885,0.0,-0.5283
0.04,0.886,0.074,0.3506
0.053,0.671,0.276,0.875
0.0,0.713,0.287,0.8971
0.208,0.792,0.0,-0.3875
0.211,0.789,0.0,-0.7184
0.0,0.905,0.095,0.2263
0.155,0.845,0.0,-0.296
0.052,0.66,0.288,0.875
0.221,0.779,0.0,-0.78
0.0,0.625,0.375,0.5859
0.0,0.806,0.194,0.7906
0.0,0.892,0.108,0.6633
0.131,0.771,0.098,-0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.139,0.861,0.0,-0.4404
0.456,0.544,0.0,-0.7717
0.123,0.877,0.0,-0.5423
0.133,0.492,0.375,0.8327
0.291,0.709,0.0,-0.3156
0.0,1.0,0.0,0.0
0.187,0.813,0.0,-0.8301
0.231,0.769,0.0,-0.8402
0.0,1.0,0.0,0.0
0.0,0.902,0.098,0.3818
0.0,0.758,0.242,0.9202
0.0,1.0,0.0,0.0
0.114,0.758,0.128,0.0772
0.0,0.93,0.07,0.5023
0.298,0.702,0.0,-0.6711
0.0,0.829,0.171,0.4767
0.259,0.741,0.0,-0.4215
0.059,0.703,0.238,0.7474
0.051,0.809,0.14,0.5267
0.173,0.827,0.0,-0.3182
0.0,0.894,0.106,0.0772
0.0,0.513,0.487,0.5859
0.0,0.903,0.097,0.128
0.136,0.864,0.0,-0.296
0.122,0.878,0.0,-0.3612
0.188,0.524,0.288,0.2263
0.044,0.907,0.048,0.0516
0.189,0.811,0.0,-0.4215
0.0,1.0,0.0,0.0
0.307,0.653,0.04,-0.8555
0.0,0.596,0.404,0.9584
0.224,0.776,0.0,-0.3818
0.0,0.94,0.06,0.2023
0.383,0.617,0.0,-0.4767
0.125,0.816,0.059,-0.4391
0.165,0.638,0.197,0.4151
0.06,0.762,0.178,0.5233
0.151,0.766,0.082,-0.7003
0.049,0.681,0.27,0.8932
